feature_shap,feature
0.00065,deriv3_rougher.input.floatbank11_copper_sulfate
0.00064,diff_encod_rel_rougher.input.feed_zn_s2b0
0.00061,rel_encod_rel_rougher.input.feed_zn_s3b0
0.00061,value__mean_second_derivative_central_p120_rougher.input.feed_rate
0.00061,value__absolute_sum_of_changes_p12_rougher.input.feed_rate
0.00057,value__mean_second_derivative_central_p12_rougher.input.feed_fe
0.00055,value__mean_second_derivative_central_p6_rougher.state.floatbank10_b_air
0.00055,deriv1_encod_dif_rougher.input.feed_fe
0.00046,value__mean_second_derivative_central_p12_rougher.input.floatbank11_xanthate
0.00041,rel_encod_dif_rougher.input.feed_fe_s3b0
0.00040,rel_rougher.input.feed_size_s3b0
0.00038,deriv2_encod_dif_rougher.input.feed_fe
0.00038,deriv3_rougher.input.feed_zn
0.00038,value__linear_trend__attr_slope_p24_rougher.input.feed_zn
0.00037,deriv3_encod_val_rougher.input.feed_fe
0.00036,value__mean_second_derivative_central_p24_rougher.input.feed_zn
0.00031,value__mean_second_derivative_central_p24_rougher.input.feed_fe
0.00028,value__mean_second_derivative_central_p24_rougher.input.feed_pb
0.00024,deriv3_rougher.input.feed_fe
0.00023,deriv1_rougher.state.floatbank10_d_level
0.00023,value__mean_second_derivative_central_p24_rougher.state.floatbank10_b_air
0.00000,deriv1_encod_rel_rougher.input.feed_fe
0.00000,value__fft_aggregated__aggtype_skew_p12_rougher.input.floatbank10_copper_sulfate
0.00000,deriv3_rougher.input.floatbank10_xanthate
0.00000,value__mean_second_derivative_central_p6_rougher.input.feed_zn
0.00000,diff_rougher.input.floatbank11_copper_sulfate_s2b0
0.00000,value__fft_aggregated__aggtype_skew_p12_rougher.state.floatbank10_b_air
0.00000,deriv3_encod_val_rougher.input.feed_pb
0.00000,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_zn
0.00000,value__kurtosis_p12_rougher.input.feed_pb
0.00000,value__mean_second_derivative_central_p6_rougher.input.feed_sol
0.00000,deriv2_rougher.state.floatbank10_d_level
